address,zone,collection_day
123 ARDMORE AVE,Zone 2,Wednesday
129 ARDMORE AVE,Zone 2,Wednesday
131 ARDMORE AVE,Zone 2,Wednesday
133 ARDMORE AVE,Zone 2,Wednesday
205 ARDMORE AVE,Zone 2,Wednesday
207 ARDMORE AVE,Zone 2,Wednesday
209 ARDMORE AVE,Zone 2,Wednesday
211 ARDMORE AVE,Zone 2,Wednesday
213 ARDMORE AVE,Zone 2,Wednesday
215 ARDMORE AVE,Zone 2,Wednesday
217 ARDMORE AVE,Zone 2,Wednesday
219 ARDMORE AVE,Zone 2,Wednesday
221 ARDMORE AVE,Zone 2,Wednesday
223 ARDMORE AVE,Zone 2,Wednesday
225 ARDMORE AVE,Zone 2,Wednesday
227 ARDMORE AVE,Zone 2,Wednesday
229 ARDMORE AVE,Zone 2,Wednesday
231 ARDMORE AVE,Zone 2,Wednesday
600 ARGYLE CIR,Zone 3,Wednesday
602 ARGYLE CIR,Zone 3,Wednesday
604 ARGYLE CIR,Zone 3,Wednesday
606 ARGYLE CIR,Zone 3,Wednesday
608 ARGYLE CIR,Zone 3,Wednesday
610 ARGYLE CIR,Zone 3,Wednesday
612 ARGYLE CIR,Zone 3,Wednesday
601 ARGYLE CIR,Zone 3,Wednesday
603 ARGYLE CIR,Zone 3,Wednesday
605 ARGYLE CIR,Zone 3,Wednesday
607 ARGYLE CIR,Zone 3,Wednesday
609 ARGYLE CIR,Zone 3,Wednesday
611 ARGYLE CIR,Zone 3,Wednesday
613 ARGYLE CIR,Zone 3,Wednesday
106 ARGYLE RD,Zone 3,Wednesday
110 ARGYLE RD,Zone 3,Wednesday
116 ARGYLE RD,Zone 3,Wednesday
118 ARGYLE RD,Zone 3,Wednesday
120 ARGYLE RD,Zone 3,Wednesday
544 ARGYLE RD,Zone 3,Wednesday
546 ARGYLE RD,Zone 3,Wednesday
548 ARGYLE RD,Zone 3,Wednesday
600 ARGYLE RD,Zone 3,Wednesday
604 ARGYLE RD,Zone 3,Wednesday
608 ARGYLE RD,Zone 3,Wednesday
610 ARGYLE RD,Zone 3,Wednesday
614 ARGYLE RD,Zone 3,Wednesday
616 ARGYLE RD,Zone 3,Wednesday
620 ARGYLE RD,Zone 3,Wednesday
622 ARGYLE RD,Zone 3,Wednesday
626 ARGYLE RD,Zone 3,Wednesday
630 ARGYLE RD,Zone 3,Wednesday
632 ARGYLE RD,Zone 3,Wednesday
636 ARGYLE RD,Zone 3,Wednesday
700 ARGYLE RD,Zone 3,Wednesday
704 ARGYLE RD,Zone 3,Wednesday
706 ARGYLE RD,Zone 3,Wednesday
708 ARGYLE RD,Zone 3,Wednesday
710 ARGYLE RD,Zone 3,Wednesday
712 ARGYLE RD,Zone 3,Wednesday
716 ARGYLE RD,Zone 3,Wednesday
718 ARGYLE RD,Zone 3,Wednesday
720 ARGYLE RD,Zone 3,Wednesday
722 ARGYLE RD,Zone 3,Wednesday
724 ARGYLE RD,Zone 3,Wednesday
730 ARGYLE RD,Zone 3,Wednesday
113 ARGYLE RD,Zone 3,Wednesday
115 ARGYLE RD,Zone 3,Wednesday
117 ARGYLE RD,Zone 3,Wednesday
119 ARGYLE RD,Zone 3,Wednesday
121 ARGYLE RD,Zone 3,Wednesday
123 ARGYLE RD,Zone 3,Wednesday
125 ARGYLE RD,Zone 3,Wednesday
207 ARGYLE RD,Zone 3,Wednesday
209 ARGYLE RD,Zone 3,Wednesday
213 ARGYLE RD,Zone 3,Wednesday
217 ARGYLE RD,Zone 3,Wednesday
221 ARGYLE RD,Zone 3,Wednesday
227 ARGYLE RD,Zone 3,Wednesday
229 ARGYLE RD,Zone 3,Wednesday
323 ARGYLE RD,Zone 3,Wednesday
605 ARGYLE RD,Zone 3,Wednesday
609 ARGYLE RD,Zone 3,Wednesday
613 ARGYLE RD,Zone 3,Wednesday
615 ARGYLE RD,Zone 3,Wednesday
619 ARGYLE RD,Zone 3,Wednesday
623 ARGYLE RD,Zone 3,Wednesday
627 ARGYLE RD,Zone 3,Wednesday
631 ARGYLE RD,Zone 3,Wednesday
635 ARGYLE RD,Zone 3,Wednesday
701 ARGYLE RD,Zone 3,Wednesday
1337 GRENOX RD,Zone 3,Wednesday
737 ARGYLE RD,Zone 3,Wednesday
743 ARGYLE RD,Zone 3,Wednesday
747 ARGYLE RD,Zone 3,Wednesday
712 ARLINGTON RD,Zone 4,Wednesday
718 ARLINGTON RD,Zone 4,Wednesday
722 ARLINGTON RD,Zone 4,Wednesday
726 ARLINGTON RD,Zone 4,Wednesday
730 ARLINGTON RD,Zone 4,Wednesday
734 ARLINGTON RD,Zone 4,Wednesday
740 ARLINGTON RD,Zone 4,Wednesday
701 ARLINGTON RD,Zone 4,Wednesday
703 ARLINGTON RD,Zone 4,Wednesday
707 ARLINGTON RD,Zone 4,Wednesday
709 ARLINGTON RD,Zone 4,Wednesday
713 ARLINGTON RD,Zone 4,Wednesday
717 ARLINGTON RD,Zone 4,Wednesday
721 ARLINGTON RD,Zone 4,Wednesday
725 ARLINGTON RD,Zone 4,Wednesday
729 ARLINGTON RD,Zone 4,Wednesday
733 ARLINGTON RD,Zone 4,Wednesday
737 ARLINGTON RD,Zone 4,Wednesday
111 ARMAT AVE,Zone 2,Wednesday
124 ARNOLD RD,Zone 3,Wednesday
126 ARNOLD RD,Zone 3,Wednesday
128 ARNOLD RD,Zone 3,Wednesday
130 ARNOLD RD,Zone 3,Wednesday
132 ARNOLD RD,Zone 3,Wednesday
134 ARNOLD RD,Zone 3,Wednesday
136 ARNOLD RD,Zone 3,Wednesday
138 ARNOLD RD,Zone 3,Wednesday
140 ARNOLD RD,Zone 3,Wednesday
142 ARNOLD RD,Zone 3,Wednesday
144 ARNOLD RD,Zone 3,Wednesday
146 ARNOLD RD,Zone 3,Wednesday
148 ARNOLD RD,Zone 3,Wednesday
150 ARNOLD RD,Zone 3,Wednesday
123 ARNOLD RD,Zone 3,Wednesday
125 ARNOLD RD,Zone 3,Wednesday
127 ARNOLD RD,Zone 3,Wednesday
129 ARNOLD RD,Zone 3,Wednesday
131 ARNOLD RD,Zone 3,Wednesday
133 ARNOLD RD,Zone 3,Wednesday
135 ARNOLD RD,Zone 3,Wednesday
137 ARNOLD RD,Zone 3,Wednesday
1230 ARROWMINK RD,Zone 4,Friday
1240 ARROWMINK RD,Zone 4,Friday
1326 ARROWMINK RD,Zone 4,Friday
1309 ARROWMINK RD,Zone 4,Friday
1315 ARROWMINK RD,Zone 4,Friday
1321 ARROWMINK RD,Zone 4,Friday
402 ARTHURS ROUND TABLE,Zone 1,Wednesday
404 ARTHURS ROUND TABLE,Zone 1,Wednesday
408 ARTHURS ROUND TABLE,Zone 1,Wednesday
410 ARTHURS ROUND TABLE,Zone 1,Wednesday
401 ARTHURS ROUND TABLE,Zone 1,Wednesday
403 ARTHURS ROUND TABLE,Zone 1,Wednesday
407 ARTHURS ROUND TABLE,Zone 1,Wednesday
409 ARTHURS ROUND TABLE,Zone 1,Wednesday
413 ARTHURS ROUND TABLE,Zone 1,Wednesday
415 ARTHURS ROUND TABLE,Zone 1,Wednesday
419 ARTHURS ROUND TABLE,Zone 1,Wednesday
421 ARTHURS ROUND TABLE,Zone 1,Wednesday
425 ARTHURS ROUND TABLE,Zone 1,Wednesday
427 ARTHURS ROUND TABLE,Zone 1,Wednesday
1236 ARWYN LN,Zone 4,Friday
1228 ARWYN LN,Zone 4,Friday
1224 ARWYN LN,Zone 4,Friday
1220 ARWYN LN,Zone 4,Friday
1225 ARWYN LN,Zone 4,Friday
1237 ARWYN LN,Zone 4,Friday
1100 ASHBRIDGE RD,Zone 3,Thursday
1110 ASHBRIDGE RD,Zone 3,Thursday
1120 ASHBRIDGE RD,Zone 3,Thursday
1128 ASHBRIDGE RD,Zone 3,Thursday
1115 ASHBRIDGE RD,Zone 3,Thursday
1123 ASHBRIDGE RD,Zone 3,Thursday
1129 ASHBRIDGE RD,Zone 3,Thursday
1504 ASHFORD WAY,Zone 2,Tuesday
1501 ASHFORD WAY,Zone 2,Tuesday
1505 ASHFORD WAY,Zone 2,Tuesday
106 ASHLAND AVE,Zone 1,Monday
108 ASHLAND AVE,Zone 1,Monday
110 ASHLAND AVE,Zone 1,Monday
112 ASHLAND AVE,Zone 1,Monday
114 ASHLAND AVE,Zone 1,Monday
116 ASHLAND AVE,Zone 1,Monday
118 ASHLAND AVE,Zone 1,Monday
120 ASHLAND AVE,Zone 1,Monday
122 ASHLAND AVE,Zone 1,Monday
124 ASHLAND AVE,Zone 1,Monday
126 ASHLAND AVE,Zone 1,Monday
130 ASHLAND AVE,Zone 1,Monday
134 ASHLAND AVE,Zone 1,Monday
